2026/06/09 13:35:55 No .env file found, using environment variables and defaults
Connected to PostgreSQL
Database migrated successfully
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> github.com/curio/backend/router.Setup.func1 (4 handlers)
[GIN-debug] GET    /api/v1/feed              --> github.com/curio/backend/handlers.GetFeed (4 handlers)
[GIN-debug] GET    /api/v1/content/:id       --> github.com/curio/backend/handlers.GetContent (4 handlers)
[GIN-debug] POST   /api/v1/content/:id/like  --> github.com/curio/backend/handlers.LikeContent (4 handlers)
[GIN-debug] GET    /api/v1/categories        --> github.com/curio/backend/handlers.GetCategories (4 handlers)
[GIN-debug] GET    /api/v1/categories/l1     --> github.com/curio/backend/handlers.GetL1Categories (4 handlers)
[GIN-debug] POST   /api/v1/feedback          --> github.com/curio/backend/handlers.SubmitFeedback (4 handlers)
2026/06/09 13:35:55 Curio backend starting on :8080
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/06/09 - 14:32:25 | 200 | 728.917µs |  223.185.16.243 | GET      "/api/v1/categories/l1"
[GIN] 2026/06/09 - 14:32:25 | 200 | 536.542µs |  223.185.16.243 | GET      "/api/v1/categories/l1"
[GIN] 2026/06/09 - 14:32:58 | 200 |  11.37ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&random=true"
[GIN] 2026/06/09 - 14:32:58 | 200 |  19.25ms |  223.185.16.243 | GET      "/api/v1/categories"
[GIN] 2026/06/09 - 14:32:58 | 200 | 561.833µs |  223.185.16.243 | GET      "/api/v1/categories/l1"
[GIN] 2026/06/09 - 14:32:58 | 200 |   3.66ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=8&random=true"
[GIN] 2026/06/09 - 14:33:01 | 200 |  40.34ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=13&random=true"
[GIN] 2026/06/09 - 14:33:01 | 200 |   4.99ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=21&random=true"
[GIN] 2026/06/09 - 14:41:31 | 200 |    3.8ms |  223.185.16.243 | GET      "/api/v1/categories/l1"
[GIN] 2026/06/09 - 14:45:08 | 200 |  36.06ms |  223.185.16.243 | GET      "/api/v1/categories"
[GIN] 2026/06/09 - 14:45:08 | 200 |   1.82ms |  223.185.16.243 | GET      "/api/v1/categories/l1"
[GIN] 2026/06/09 - 14:45:08 | 200 |   3.43ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&random=true"
[GIN] 2026/06/09 - 14:45:08 | 200 |  22.76ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=8&random=true"
[GIN] 2026/06/09 - 14:48:18 | 200 |   2.71ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=1&random=true"
[GIN] 2026/06/09 - 14:48:18 | 200 |   3.16ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=2&random=true"
[GIN] 2026/06/09 - 14:48:18 | 200 |   2.39ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=3&random=true"
[GIN] 2026/06/09 - 14:48:18 | 200 |   5.44ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=4&random=true"
